"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Cefalexin","Cefalexin","Bovine","200 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",200,"μg/kg","muscle"
"Cefalexin","Cefalexin","Bovine","200 μg/kg","Fat","NO ENTRY","Anti-infectious agents/Antibiotics",200,"μg/kg","fat"
"Cefalexin","Cefalexin","Bovine","200 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",200,"μg/kg","liver"
"Cefalexin","Cefalexin","Bovine","1 000  μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Antibiotics",1000,"μg/kg","kidney"
"Cefalexin","Cefalexin","Bovine","100 μg/kg","Milk","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","milk"
"Cefalonium","Cefalonium","Bovine","20 μg/kg","Milk","For intramammary use and eye treatment only.","Anti-infectious agents/Antibiotics",20,"μg/kg","milk"
"Cefalonium","NOT APPLICABLE","Bovine","No MRL required for all tissues except milk","NOT APPLICABLE","For intramammary use and eye treatment only.","Anti-infectious agents/Antibiotics",NA,NA,NA
"Cefapirin","Sum of cephapirin and desacetylcephapirin","Bovine","50 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Cefapirin","Sum of cephapirin and desacetylcephapirin","Bovine","50 μg/kg","Fat","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Cefapirin","Sum of cephapirin and desacetylcephapirin","Bovine","100 μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","kidney"
"Cefapirin","Sum of cephapirin and desacetylcephapirin","Bovine","60 μg/kg","Milk","NO ENTRY","Anti-infectious agents/Antibiotics",60,"μg/kg","milk"
"Cefazolin","Cefazolin","Bovine, ovine, caprine","50 μg/kg","Milk","NO ENTRY","Anti-infectious agents/Antibiotics",50,"μg/kg","milk"
"Cefazolin","NOT APPLICABLE","Bovine, ovine, caprine","No MRL required for all tissues except milk","NOT APPLICABLE","For intramammary use, except if the udder may be used as food for human consumption.","Anti-infectious agents/Antibiotics",NA,NA,NA
"Cefoperazone","Cefoperazone","Bovine","50 μg/kg","Milk","For intramammary use in lactating cows only.","Anti-infectious agents/Antibiotics",50,"μg/kg","milk"
"Cefoperazone","NOT APPLICABLE","Bovine","No MRL required for all tissues except milk","NOT APPLICABLE","For intramammary use in lactating cows only.","Anti-infectious agents/Antibiotics",NA,NA,NA
"Cefquinome","Cefquinome","Bovine,","50 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Cefquinome","Cefquinome","porcine,","50 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Cefquinome","Cefquinome","Equidae","50 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Cefquinome","Cefquinome","Bovine,","50 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Cefquinome","Cefquinome","porcine,","50 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Cefquinome","Cefquinome","Equidae","50 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Cefquinome","Cefquinome","Bovine,","100 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","liver"
"Cefquinome","Cefquinome","porcine,","100 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","liver"
"Cefquinome","Cefquinome","Equidae","100 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","liver"
"Cefquinome","Cefquinome","Bovine,","200 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",200,"μg/kg","kidney"
"Cefquinome","Cefquinome","porcine,","200 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",200,"μg/kg","kidney"
"Cefquinome","Cefquinome","Equidae","200 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",200,"μg/kg","kidney"
"Cefquinome","Cefquinome","Bovine","20 μg/kg","Milk","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",20,"μg/kg","milk"
"Ceftiofur","Sum of all residues retaining the betalactam structure expressed as desfuroylceftiofur","All mammalian food producing species","1 000  μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",1000,"μg/kg","muscle"
"Ceftiofur","Sum of all residues retaining the betalactam structure expressed as desfuroylceftiofur","All mammalian food producing species","2 000  μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",2000,"μg/kg","fat"
"Ceftiofur","Sum of all residues retaining the betalactam structure expressed as desfuroylceftiofur","All mammalian food producing species","2 000  μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",2000,"μg/kg","liver"
"Ceftiofur","Sum of all residues retaining the betalactam structure expressed as desfuroylceftiofur","All mammalian food producing species","6 000  μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",6000,"μg/kg","kidney"
"Ceftiofur","Sum of all residues retaining the betalactam structure expressed as desfuroylceftiofur","All mammalian food producing species","100 μg/kg","Milk","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","milk"
"Centellae asiaticae extractum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Cetostearyl alcohol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cetrimide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Chlorhexidine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Chlormadinone","Chlormadinone","Bovine","4 μg/kg","Fat","For zootechnical use only.","Agents acting on the reproductive system",4,"μg/kg","fat"
"Chlormadinone","Chlormadinone","Bovine","2 μg/kg","Liver","For zootechnical use only.","Agents acting on the reproductive system",2,"μg/kg","liver"
"Chlormadinone","Chlormadinone","Bovine","2.5 μg/kg","Milk","For zootechnical use only.","Agents acting on the reproductive system",2.5,"μg/kg","milk"
"Chlorocresol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Chloroform","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","Only to be used as an excipient in vaccines and only at concentrations not exceeding 1 % w/v and total doses not exceeding 20 mg per animal.","NO ENTRY",NA,NA,NA
"Chlorphenamine","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Chlortetracycline","Sum of parent drug and its 4- epimer","All food-producing species","100 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Chlortetracycline","Sum of parent drug and its 4- epimer","All food-producing species","300 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",300,"μg/kg","liver"
"Chlortetracycline","Sum of parent drug and its 4- epimer","All food-producing species","600 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",600,"μg/kg","kidney"
"Chlortetracycline","Sum of parent drug and its 4- epimer","All food-producing species","100 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",100,"μg/kg","milk"
"Chlortetracycline","Sum of parent drug and its 4- epimer","All food-producing species","200 μg/kg","Eggs","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for liver and kidney do not apply to fin fish.","Anti-infectious agents/Antibiotics",200,"μg/kg","eggs"
"Choline","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Chrysanthemi cinerariifolii flos","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Chymotrypsin","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ciclesonide","The sum of ciclesonide and desisobutyryl-ciclesonide, measured as desisobutyryl-ciclesonide after hydrolysis of ciclesonide to desisobutyryl-ciclesonide","Equidae","0.6 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption","Corticoides/Glucocorticoides",0.6,"μg/kg","muscle"
"Ciclesonide","The sum of ciclesonide and desisobutyryl-ciclesonide, measured as desisobutyryl-ciclesonide after hydrolysis of ciclesonide to desisobutyryl-ciclesonide","Equidae","4 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption","Corticoides/Glucocorticoides",4,"μg/kg","fat"
"Ciclesonide","The sum of ciclesonide and desisobutyryl-ciclesonide, measured as desisobutyryl-ciclesonide after hydrolysis of ciclesonide to desisobutyryl-ciclesonide","Equidae","0.6 μg/kg","Liver","Not for use in animals from which milk is produced for human consumption","Corticoides/Glucocorticoides",0.6,"μg/kg","liver"
"Ciclesonide","The sum of ciclesonide and desisobutyryl-ciclesonide, measured as desisobutyryl-ciclesonide after hydrolysis of ciclesonide to desisobutyryl-ciclesonide","Equidae","0.6 μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption","Corticoides/Glucocorticoides",0.6,"μg/kg","kidney"
"Cimicifugae racemosae rhizoma","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","Not for use in animals from which milk is produced for human consumption.","NO ENTRY",NA,NA,NA
"Cinchonae cortex, standardised extracts and preparations thereof","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cinnamomi cassiae aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cinnamomi cassiae cortex, standardised extracts and preparations thereof","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cinnamomi ceylanici aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cinnamomi ceylanici cortex, standardised extracts and preparations thereof","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Citri aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Citronellae aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Citrulline","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Clavulanic acid","Clavulanic acid","Bovine, porcine","100 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Clavulanic acid","Clavulanic acid","Bovine, porcine","100 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","fat"
"Clavulanic acid","Clavulanic acid","Bovine, porcine","200 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",200,"μg/kg","liver"
"Clavulanic acid","Clavulanic acid","Bovine, porcine","400 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",400,"μg/kg","kidney"
"Clavulanic acid","Clavulanic acid","Bovine","200 μg/kg","Milk","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",200,"μg/kg","milk"
"Clazuril","NOT APPLICABLE","Pigeon","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Clenbuterol hydrochloride","Clenbuterol","Bovine,","0.1 μg/kg","Muscle","NO ENTRY","Agents acting on the nervous system/Agents acting on the autonomic nervous system",0.1,"μg/kg","muscle"
"Clenbuterol hydrochloride","Clenbuterol","Equidae","0.1 μg/kg","Muscle","NO ENTRY","Agents acting on the nervous system/Agents acting on the autonomic nervous system",0.1,"μg/kg","muscle"
"Clenbuterol hydrochloride","Clenbuterol","Bovine,","0.5 μg/kg","Liver","NO ENTRY","Agents acting on the nervous system/Agents acting on the autonomic nervous system",0.5,"μg/kg","liver"
"Clenbuterol hydrochloride","Clenbuterol","Equidae","0.5 μg/kg","Liver","NO ENTRY","Agents acting on the nervous system/Agents acting on the autonomic nervous system",0.5,"μg/kg","liver"
"Clenbuterol hydrochloride","Clenbuterol","Bovine,","0.5 μg/kg","Kidney","NO ENTRY","Agents acting on the nervous system/Agents acting on the autonomic nervous system",0.5,"μg/kg","kidney"
"Clenbuterol hydrochloride","Clenbuterol","Equidae","0.5 μg/kg","Kidney","NO ENTRY","Agents acting on the nervous system/Agents acting on the autonomic nervous system",0.5,"μg/kg","kidney"
"Clenbuterol hydrochloride","Clenbuterol","Bovine","0.05 μg/kg","Milk","NO ENTRY","Agents acting on the nervous system/Agents acting on the autonomic nervous system",0.05,"μg/kg","milk"
"Clodronic acid (in the form of disodium salt)","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","Not for use in animals from which milk is produced for human consumption","Musculoskeletal system/drugs for treatment of bone diseases",NA,NA,NA
"Cloprostenol","NOT APPLICABLE","Bovine, porcine, caprine, Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"R-Cloprostenol","NOT APPLICABLE","Bovine, porcine, caprine, Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Clorsulon","Clorsulon","Bovine","35  μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",35,"μg/kg","muscle"
"Clorsulon","Clorsulon","Bovine","100  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","liver"
"Clorsulon","Clorsulon","Bovine","200  μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",200,"μg/kg","kidney"
"Clorsulon","Clorsulon","Bovine","16  μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",16,"μg/kg","milk"
"Closantel","Closantel","Bovine","1 000  μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",1000,"μg/kg","muscle"
"Closantel","Closantel","Bovine","3 000  μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against endoparasites",3000,"μg/kg","fat"
"Closantel","Closantel","Bovine","1 000  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",1000,"μg/kg","liver"
"Closantel","Closantel","Bovine","3 000  μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",3000,"μg/kg","kidney"
"Closantel","Closantel","Bovine","45  μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",45,"μg/kg","milk"
"Closantel","Closantel","Ovine","1 500  μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against endoparasites",1500,"μg/kg","muscle"
"Closantel","Closantel","Ovine","2 000  μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against endoparasites",2000,"μg/kg","fat"
"Closantel","Closantel","Ovine","1 500  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",1500,"μg/kg","liver"
"Closantel","Closantel","Ovine","5 000  μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",5000,"μg/kg","kidney"
"Closantel","Closantel","Ovine","45  μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",45,"μg/kg","milk"
"Cloxacillin","Cloxacillin","All food producing species","300 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",300,"μg/kg","muscle"
"Cloxacillin","Cloxacillin","All food producing species","300 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",300,"μg/kg","fat"
"Cloxacillin","Cloxacillin","All food producing species","300 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",300,"μg/kg","liver"
"Cloxacillin","Cloxacillin","All food producing species","300 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",300,"μg/kg","kidney"
"Cloxacillin","Cloxacillin","All food producing species","30 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",30,"μg/kg","milk"
"Cobalt carbonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cobalt dichloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cobalt gluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cobalt oxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cobalt sulphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Cobalt trioxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Coco alkyl dimethyl betaines","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as excipient.","NO ENTRY",NA,NA,NA
"Colistin","Colistin","All food producing species","150 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",150,"μg/kg","muscle"
"Colistin","Colistin","All food producing species","150 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",150,"μg/kg","fat"
"Colistin","Colistin","All food producing species","150 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",150,"μg/kg","liver"
"Colistin","Colistin","All food producing species","200 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",200,"μg/kg","kidney"
"Colistin","Colistin","All food producing species","50 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","milk"
"Colistin","Colistin","All food producing species","300 μg/kg","Eggs","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",300,"μg/kg","eggs"
"Condurango cortex, standardised extracts and preparations thereof","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Convallaria majalis","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias, at concentrations in the products not exceeding one part per thousand only.","NO ENTRY",NA,NA,NA
"Copper carbonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","Alimentary tract and metabolism/Mineral supplement",NA,NA,NA
"Copper chloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Copper gluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Copper heptanoate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Copper methionate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Copper oxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Copper sulphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Coriandri aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Corticotropin","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Coumafos","Coumafos","Bees","100 μg/kg","Honey","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",100,"μg/kg","honey"
"Crataegus","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Cupressi aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Cyfluthrin","Cyfluthrin (sum of isomers)","Bovine, caprine","10 μg/kg","Muscle","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","muscle"
"Cyfluthrin","Cyfluthrin (sum of isomers)","Bovine, caprine","50 μg/kg","Fat","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",50,"μg/kg","fat"
"Cyfluthrin","Cyfluthrin (sum of isomers)","Bovine, caprine","10 μg/kg","Liver","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","liver"
"Cyfluthrin","Cyfluthrin (sum of isomers)","Bovine, caprine","10 μg/kg","Kidney","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","kidney"
"Cyfluthrin","Cyfluthrin (sum of isomers)","Bovine, caprine","20 μg/kg","Milk","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","milk"
"Cyhalothrin","Cyhalothrin (sum of isomers)","Bovine","500 μg/kg","Fat","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",500,"μg/kg","fat"
"Cyhalothrin","Cyhalothrin (sum of isomers)","Bovine","50 μg/kg","Kidney","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",50,"μg/kg","kidney"
"Cyhalothrin","Cyhalothrin (sum of isomers)","Bovine","50 μg/kg","Milk","For milk further provisions in Council Directive 94/29/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",50,"μg/kg","milk"
"Cypermethrin","Cypermethrin (sum of isomers)","All ruminants","20 μg/kg","Muscle","For milk further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","muscle"
"Cypermethrin","Cypermethrin (sum of isomers)","All ruminants","200 μg/kg","Fat","For milk further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","fat"
"Cypermethrin","Cypermethrin (sum of isomers)","All ruminants","20 μg/kg","Liver","For milk further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","liver"
"Cypermethrin","Cypermethrin (sum of isomers)","All ruminants","20 μg/kg","Kidney","For milk further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","kidney"
"Cypermethrin","Cypermethrin (sum of isomers)","All ruminants","20 μg/kg","Milk","For milk further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","milk"
"Cypermethrin","Cypermethrin (sum of isomers)","Salmonidae","50 μg/kg","Muscle and skin in natural proportions","For milk further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",50,"μg/kg","skin_muscle"
"Cyromazine","Cyromazine","Ovine","300 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against ectoparasites",300,"μg/kg","muscle"
"Cyromazine","Cyromazine","Ovine","300 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against ectoparasites",300,"μg/kg","fat"
"Cyromazine","Cyromazine","Ovine","300 μg/kg","Liver","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against ectoparasites",300,"μg/kg","liver"
"Cyromazine","Cyromazine","Ovine","300 μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against ectoparasites",300,"μg/kg","kidney"
"Cysteine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
